date,virus,Sample Name,template,num_reps,median,count,at_least_3CTvals,Well,Well Position,CT,Replicate,sample_type,medDist1_method,count2,at_least_3CTvals_aftOut
03-29,WSSV,1e2_VP28.31t,1e+02,5,11.5897375,2,remove,19,B7,NA,2,STD,NA,NA,NA
03-29,WSSV,1e2_VP28.31t,1e+02,5,11.5897375,2,remove,22,B10,NA,5,STD,NA,NA,NA
03-29,WSSV,1e2_VP28.31t,1e+02,5,11.5897375,2,remove,21,B9,NA,4,STD,NA,NA,NA
03-29,WSSV,1e2_VP28.31t,1e+02,5,11.5897375,2,remove,20,B8,11.867173,3,STD,NA,NA,NA
03-29,WSSV,1e2_VP28.31t,1e+02,5,11.5897375,2,remove,18,B6,11.312302,1,STD,NA,NA,NA
03-29,WSSV,1e3_VP28.31t,1e+03,5,9.934258,4,keep,10,A10,11.241243,5,STD,remove,NA,NA
03-29,WSSV,1e3_VP28.31t,1e+03,5,9.934258,4,keep,8,A8,NA,3,STD,NA,NA,NA
03-29,WSSV,1e3_VP28.31t,1e+03,5,9.934258,4,keep,9,A9,19.607754,4,STD,remove,NA,NA
03-29,WSSV,1e3_VP28.31t,1e+03,5,9.934258,4,keep,7,A7,8.488017,2,STD,remove,NA,NA
03-29,WSSV,1e3_VP28.31t,1e+03,5,9.934258,4,keep,6,A6,8.627273,1,STD,remove,NA,NA
03-29,WSSV,1e4_VP28.31t,1e+04,5,8.314466,5,keep,76,G4,8.314466,4,STD,keep,4,keep
03-29,WSSV,1e4_VP28.31t,1e+04,5,8.314466,5,keep,74,G2,8.809297,2,STD,keep,4,keep
03-29,WSSV,1e4_VP28.31t,1e+04,5,8.314466,5,keep,77,G5,7.290523,5,STD,remove,4,NA
03-29,WSSV,1e4_VP28.31t,1e+04,5,8.314466,5,keep,75,G3,7.8439593,3,STD,keep,4,keep
03-29,WSSV,1e4_VP28.31t,1e+04,5,8.314466,5,keep,73,G1,9.205908,1,STD,keep,4,keep
03-29,WSSV,1e6_VP28.31t,1e+06,5,6.305959,5,keep,64,F4,6.103479,4,STD,keep,5,keep
03-29,WSSV,1e6_VP28.31t,1e+06,5,6.305959,5,keep,62,F2,6.4648256,2,STD,keep,5,keep
03-29,WSSV,1e6_VP28.31t,1e+06,5,6.305959,5,keep,61,F1,6.305959,1,STD,keep,5,keep
03-29,WSSV,1e6_VP28.31t,1e+06,5,6.305959,5,keep,63,F3,6.779783,3,STD,keep,5,keep
03-29,WSSV,1e6_VP28.31t,1e+06,5,6.305959,5,keep,65,F5,6.2505236,5,STD,keep,5,keep
03-29,WSSV,1e7_VP28.31t,1e+07,5,5.583267,5,keep,49,E1,5.6975956,1,STD,keep,5,keep
03-29,WSSV,1e7_VP28.31t,1e+07,5,5.583267,5,keep,50,E2,5.6016154,2,STD,keep,5,keep
03-29,WSSV,1e7_VP28.31t,1e+07,5,5.583267,5,keep,53,E5,5.5764666,5,STD,keep,5,keep
03-29,WSSV,1e7_VP28.31t,1e+07,5,5.583267,5,keep,52,E4,5.583267,4,STD,keep,5,keep
03-29,WSSV,1e7_VP28.31t,1e+07,5,5.583267,5,keep,51,E3,5.545786,3,STD,keep,5,keep
03-29,WSSV,1e8_VP28.31t,1e+08,5,4.8431506,5,keep,39,D3,4.879123,3,STD,keep,5,keep
03-29,WSSV,1e8_VP28.31t,1e+08,5,4.8431506,5,keep,37,D1,4.882355,1,STD,keep,5,keep
03-29,WSSV,1e8_VP28.31t,1e+08,5,4.8431506,5,keep,40,D4,4.7570295,4,STD,keep,5,keep
03-29,WSSV,1e8_VP28.31t,1e+08,5,4.8431506,5,keep,38,D2,4.832709,2,STD,keep,5,keep
03-29,WSSV,1e8_VP28.31t,1e+08,5,4.8431506,5,keep,41,D5,4.8431506,5,STD,keep,5,keep
03-29,WSSV,1e9_VP28.31t,1e+09,5,3.7944334,5,keep,25,C1,4.1831894,1,STD,keep,5,keep
03-29,WSSV,1e9_VP28.31t,1e+09,5,3.7944334,5,keep,29,C5,3.7944334,5,STD,keep,5,keep
03-29,WSSV,1e9_VP28.31t,1e+09,5,3.7944334,5,keep,26,C2,3.7794693,2,STD,keep,5,keep
03-29,WSSV,1e9_VP28.31t,1e+09,5,3.7944334,5,keep,27,C3,3.8529994,3,STD,keep,5,keep
03-29,WSSV,1e9_VP28.31t,1e+09,5,3.7944334,5,keep,28,C4,3.6923358,4,STD,keep,5,keep
03-29,WSSV,Pvan001_VP28.31t,Pvan001,5,6.489474,5,keep,55,E7,6.5606737,2,UNK,keep,5,keep
03-29,WSSV,Pvan001_VP28.31t,Pvan001,5,6.489474,5,keep,56,E8,6.489474,3,UNK,keep,5,keep
03-29,WSSV,Pvan001_VP28.31t,Pvan001,5,6.489474,5,keep,57,E9,6.508352,4,UNK,keep,5,keep
03-29,WSSV,Pvan001_VP28.31t,Pvan001,5,6.489474,5,keep,58,E10,6.3922524,5,UNK,keep,5,keep
03-29,WSSV,Pvan001_VP28.31t,Pvan001,5,6.489474,5,keep,54,E6,6.332738,1,UNK,keep,5,keep
03-29,WSSV,Pvan002_VP28.31t,Pvan002,5,5.9650164,5,keep,67,F7,6.194495,2,UNK,keep,5,keep
03-29,WSSV,Pvan002_VP28.31t,Pvan002,5,5.9650164,5,keep,69,F9,5.9162116,4,UNK,keep,5,keep
03-29,WSSV,Pvan002_VP28.31t,Pvan002,5,5.9650164,5,keep,68,F8,5.969676,3,UNK,keep,5,keep
03-29,WSSV,Pvan002_VP28.31t,Pvan002,5,5.9650164,5,keep,70,F10,5.964291,5,UNK,keep,5,keep
03-29,WSSV,Pvan002_VP28.31t,Pvan002,5,5.9650164,5,keep,66,F6,5.9650164,1,UNK,keep,5,keep
03-29,WSSV,Pvan003_VP28.31t,Pvan003,5,5.950438,5,keep,82,G10,5.9549847,5,UNK,keep,5,keep
03-29,WSSV,Pvan003_VP28.31t,Pvan003,5,5.950438,5,keep,81,G9,5.950438,4,UNK,keep,5,keep
03-29,WSSV,Pvan003_VP28.31t,Pvan003,5,5.950438,5,keep,79,G7,5.9027123,2,UNK,keep,5,keep
03-29,WSSV,Pvan003_VP28.31t,Pvan003,5,5.950438,5,keep,80,G8,5.913993,3,UNK,keep,5,keep
03-29,WSSV,Pvan003_VP28.31t,Pvan003,5,5.950438,5,keep,78,G6,5.9604897,1,UNK,keep,5,keep
03-29,WSSV,Pvan004_VP28.31t,Pvan004,5,6.406019,5,keep,91,H7,6.7197976,2,UNK,keep,5,keep
03-29,WSSV,Pvan004_VP28.31t,Pvan004,5,6.406019,5,keep,90,H6,6.3803515,1,UNK,keep,5,keep
03-29,WSSV,Pvan004_VP28.31t,Pvan004,5,6.406019,5,keep,92,H8,6.4664507,3,UNK,keep,5,keep
03-29,WSSV,Pvan004_VP28.31t,Pvan004,5,6.406019,5,keep,93,H9,6.406019,4,UNK,keep,5,keep
03-29,WSSV,Pvan004_VP28.31t,Pvan004,5,6.406019,5,keep,94,H10,6.3949366,5,UNK,keep,5,keep
03-29,WSSV,Pvan005_VP28.31t,Pvan005,5,5.9074078,5,keep,11,A11,5.873207,1,UNK,keep,5,keep
03-29,WSSV,Pvan005_VP28.31t,Pvan005,5,5.9074078,5,keep,47,D11,5.9074078,4,UNK,keep,5,keep
03-29,WSSV,Pvan005_VP28.31t,Pvan005,5,5.9074078,5,keep,35,C11,5.986447,3,UNK,keep,5,keep
03-29,WSSV,Pvan005_VP28.31t,Pvan005,5,5.9074078,5,keep,23,B11,5.955145,2,UNK,keep,5,keep
03-29,WSSV,Pvan005_VP28.31t,Pvan005,5,5.9074078,5,keep,59,E11,5.889929,5,UNK,keep,5,keep
03-29,WSSV,Pvan006_VP28.31t,Pvan006,5,6.653948,5,keep,24,B12,6.6279364,2,UNK,keep,5,keep
03-29,WSSV,Pvan006_VP28.31t,Pvan006,5,6.653948,5,keep,36,C12,6.693281,3,UNK,keep,5,keep
03-29,WSSV,Pvan006_VP28.31t,Pvan006,5,6.653948,5,keep,48,D12,6.653948,4,UNK,keep,5,keep
03-29,WSSV,Pvan006_VP28.31t,Pvan006,5,6.653948,5,keep,60,E12,6.6835003,5,UNK,keep,5,keep
03-29,WSSV,Pvan006_VP28.31t,Pvan006,5,6.653948,5,keep,12,A12,6.6352816,1,UNK,keep,5,keep
03-29,WSSV,Pvan007_VP28.31t,Pvan007,4,6.13705335,4,keep,71,F11,6.1977797,1,UNK,keep,4,keep
03-29,WSSV,Pvan007_VP28.31t,Pvan007,4,6.13705335,4,keep,84,G12,6.277587,4,UNK,keep,4,keep
03-29,WSSV,Pvan007_VP28.31t,Pvan007,4,6.13705335,4,keep,72,F12,6.076327,2,UNK,keep,4,keep
03-29,WSSV,Pvan007_VP28.31t,Pvan007,4,6.13705335,4,keep,83,G11,5.966228,3,UNK,keep,4,keep
04-01,TSV,0.00E+00,0,5,NA,0,remove,85,H1,NA,1,STD,NA,NA,NA
04-01,TSV,0.00E+00,0,5,NA,0,remove,89,H5,NA,5,STD,NA,NA,NA
04-01,TSV,0.00E+00,0,5,NA,0,remove,88,H4,NA,4,STD,NA,NA,NA
04-01,TSV,0.00E+00,0,5,NA,0,remove,86,H2,NA,2,STD,NA,NA,NA
04-01,TSV,0.00E+00,0,5,NA,0,remove,87,H3,NA,3,STD,NA,NA,NA
04-01,TSV,1.00E+00,20,5,22.380111,2,remove,74,G2,NA,2,STD,NA,NA,NA
04-01,TSV,1.00E+00,20,5,22.380111,2,remove,73,G1,17.658379,1,STD,NA,NA,NA
04-01,TSV,1.00E+00,20,5,22.380111,2,remove,76,G4,NA,4,STD,NA,NA,NA
04-01,TSV,1.00E+00,20,5,22.380111,2,remove,77,G5,NA,5,STD,NA,NA,NA
04-01,TSV,1.00E+00,20,5,22.380111,2,remove,75,G3,27.101843,3,STD,NA,NA,NA
04-01,TSV,1.00E+01,200,5,11.894033,5,keep,65,F5,11.894033,5,STD,keep,3,keep
04-01,TSV,1.00E+01,200,5,11.894033,5,keep,63,F3,26.148552,3,STD,remove,3,NA
04-01,TSV,1.00E+01,200,5,11.894033,5,keep,64,F4,11.788278,4,STD,keep,3,keep
04-01,TSV,1.00E+01,200,5,11.894033,5,keep,62,F2,38.604057,2,STD,remove,3,NA
04-01,TSV,1.00E+01,200,5,11.894033,5,keep,61,F1,11.480069,1,STD,keep,3,keep
04-01,TSV,1.00E+02,2000,5,9.803809,5,keep,51,E3,9.442055,3,STD,keep,5,keep
04-01,TSV,1.00E+02,2000,5,9.803809,5,keep,52,E4,8.8750725,4,STD,keep,5,keep
04-01,TSV,1.00E+02,2000,5,9.803809,5,keep,50,E2,9.803809,2,STD,keep,5,keep
04-01,TSV,1.00E+02,2000,5,9.803809,5,keep,49,E1,10.041577,1,STD,keep,5,keep
04-01,TSV,1.00E+02,2000,5,9.803809,5,keep,53,E5,9.859704,5,STD,keep,5,keep
04-01,TSV,1.00E+03,20000,5,8.723044,5,keep,38,D2,8.768166,2,STD,keep,5,keep
04-01,TSV,1.00E+03,20000,5,8.723044,5,keep,37,D1,8.561744,1,STD,keep,5,keep
04-01,TSV,1.00E+03,20000,5,8.723044,5,keep,41,D5,8.723044,5,STD,keep,5,keep
04-01,TSV,1.00E+03,20000,5,8.723044,5,keep,39,D3,8.220022,3,STD,keep,5,keep
04-01,TSV,1.00E+03,20000,5,8.723044,5,keep,40,D4,8.829784,4,STD,keep,5,keep
04-01,TSV,1.00E+04,2e+05,5,7.475607,5,keep,25,C1,7.0072646,1,STD,keep,5,keep
04-01,TSV,1.00E+04,2e+05,5,7.475607,5,keep,29,C5,7.475607,5,STD,keep,5,keep
04-01,TSV,1.00E+04,2e+05,5,7.475607,5,keep,27,C3,7.994055,3,STD,keep,5,keep
04-01,TSV,1.00E+04,2e+05,5,7.475607,5,keep,26,C2,7.561,2,STD,keep,5,keep
04-01,TSV,1.00E+04,2e+05,5,7.475607,5,keep,28,C4,7.140745,4,STD,keep,5,keep
04-01,TSV,1.00E+05,2e+06,5,6.4834104,5,keep,14,B2,6.4834104,2,STD,keep,5,keep
04-01,TSV,1.00E+05,2e+06,5,6.4834104,5,keep,17,B5,6.685287,5,STD,keep,5,keep
04-01,TSV,1.00E+05,2e+06,5,6.4834104,5,keep,16,B4,6.207242,4,STD,keep,5,keep
04-01,TSV,1.00E+05,2e+06,5,6.4834104,5,keep,13,B1,6.387954,1,STD,keep,5,keep
04-01,TSV,1.00E+05,2e+06,5,6.4834104,5,keep,15,B3,6.749944,3,STD,keep,5,keep
