* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-18-2022
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-18-2022
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 02-23-2022 13:02:58 PM EST
* Date Modified = 02-23-2022 16:36:10 PM EST
* Experiment File Name = E:\2022-02-22 TSV high-low background.eds
* Experiment Name = 2022-02-22 TSV high-low background
* Experiment Run Start Time = 02-23-2022 23:14:49 PM EST
* Experiment Run Stop Time = 02-24-2022 00:48:46 AM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
1	      A1	6	74,972.883	3,166,000.000	525,478.812
2	      A2	6	72,803.555	3,213,789.000	507,451.562
3	      A3	6	78,221.117	3,354,054.500	561,897.250
4	      A4	6	74,543.125	3,224,679.250	552,814.312
5	      A5	6	80,667.016	3,317,965.250	573,317.250
6	      A6	6	86,951.461	3,274,777.750	570,326.750
7	      A7	6			
8	      A8	6			
9	      A9	6			
10	      A10	6			
11	      A11	6			
12	      A12	6			
13	      B1	6	70,962.805	3,371,143.500	518,041.312
14	      B2	6	71,912.719	3,417,079.000	542,905.438
15	      B3	6	70,114.492	3,338,135.750	535,583.812
16	      B4	6	64,002.273	3,173,555.500	514,346.062
17	      B5	6	106,564.953	3,106,104.750	781,252.688
18	      B6	6	79,230.516	3,131,997.250	537,911.000
19	      B7	6			
20	      B8	6			
21	      B9	6			
22	      B10	6			
23	      B11	6			
24	      B12	6			
25	      C1	6	72,353.047	3,309,674.500	493,045.594
26	      C2	6	71,039.203	3,342,360.250	539,147.062
27	      C3	6	71,221.812	3,212,415.000	461,152.594
28	      C4	6	71,614.508	3,309,681.750	490,199.688
29	      C5	6	65,283.742	3,056,563.250	480,139.594
30	      C6	6	67,317.281	3,063,416.750	480,543.344
31	      C7	6			
32	      C8	6			
33	      C9	6			
34	      C10	6			
35	      C11	6			
36	      C12	6			
37	      D1	6	67,557.469	3,033,159.250	442,113.625
38	      D2	6	57,149.434	3,149,878.000	417,884.438
39	      D3	6	60,374.535	3,048,067.750	412,158.000
40	      D4	6	69,158.734	2,866,176.750	509,326.938
41	      D5	6	60,474.500	2,964,371.250	434,570.312
42	      D6	6	63,161.543	2,965,818.750	455,264.000
43	      D7	6			
44	      D8	6			
45	      D9	6			
46	      D10	6			
47	      D11	6			
48	      D12	6			
49	      E1	6	70,311.594	3,216,472.500	452,648.250
50	      E2	6	66,978.211	2,809,115.500	494,087.469
51	      E3	6	70,637.656	2,820,912.250	501,417.469
52	      E4	6	63,670.730	2,735,387.000	481,953.938
53	      E5	6	69,783.648	2,836,412.500	503,724.125
54	      E6	6	71,011.492	2,896,713.000	503,061.875
55	      E7	6			
56	      E8	6			
57	      E9	6			
58	      E10	6			
59	      E11	6			
60	      E12	6			
61	      F1	6	64,865.703	3,291,465.750	426,028.281
62	      F2	6	64,943.781	3,102,939.750	484,235.781
63	      F3	6	65,611.797	2,975,118.500	429,806.219
64	      F4	6			
65	      F5	6			
66	      F6	6			
67	      F7	6			
68	      F8	6			
69	      F9	6			
70	      F10	6			
71	      F11	6			
72	      F12	6			
73	      G1	6	41,473.570	2,884,839.500	378,583.188
74	      G2	6	66,571.328	2,970,049.250	416,319.500
75	      G3	6	62,925.305	2,882,323.750	417,278.375
76	      G4	6			
77	      G5	6			
78	      G6	6			
79	      G7	6			
80	      G8	6			
81	      G9	6			
82	      G10	6			
83	      G11	6			
84	      G12	6			
85	      H1	6	20,499.375	2,923,227.250	415,769.812
86	      H2	6	60,327.914	2,712,662.250	444,063.250
87	      H3	6	91,292.414	2,843,217.250	452,681.562
88	      H4	6			
89	      H5	6			
90	      H6	6			
91	      H7	6			
92	      H8	6			
93	      H9	6			
94	      H10	6			
95	      H11	6			
96	      H12	6			
1	      A1	7	75,300.008	3,596,278.250	544,412.938
2	      A2	7	73,043.031	3,652,129.250	527,549.375
3	      A3	7	78,757.477	3,810,178.500	582,091.188
4	      A4	7	75,487.016	3,665,802.000	578,348.000
5	      A5	7	81,755.031	3,766,828.750	596,204.375
6	      A6	7	87,804.492	3,721,333.750	593,456.938
7	      A7	7			
8	      A8	7			
9	      A9	7			
10	      A10	7			
11	      A11	7			
12	      A12	7			
